,Index,Argument
0,0,
1,1, 1 U.S. 406 (Dall.)
2,2,"Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 Johnson v. Hocker  Supreme Court of Pennsylvania  January Term, 1789 This was an action of debt brought upon a bond bearing date the 24th of April, 1779, and conditioned for the payment of L 500. lawful money of Pennsylvania."
3,3,"On the trial of the cause, Sergeant, in order to prove payment to the Treasurer agreeably to the tender law, offered to read the following certificate to the Jury: 'Received 29th March, 1780, of Mr. George Hocker, the sum of L 373.6."
4,4,"6. being two thirds of a bond and interest due to Mr. F. Johnson of Germantown, which he refused to receive when legally tendered to him in presence of Balzer Hidrecks and Conrad Reedheiffer; the other one third he left in my hands to be given to such poor and distressed persons as I shall think proper objects of charity."
5,5,"Lewis, for the Plaintiff, objected to the evidence, that this was not a certificate merely official; but containing certain extra judicial facts, to which Snowden, like any other witness, ought to be produced and sworn."
6,6,"Sergeant answered, that what was surplusage might be rejected, and the paper go to the Jury only as proof of the receipt of the money."
7,7,"If a Notary in England introduced foreign matter into the protest of a bill of exchange, the Court would strike out so much as was surplusage, but would never suppress the whole."
8,8,"Snowden could easily on this occasion be produced; but similar cases may occur at a distance, in which it would be impracticable, and great inconveniency and injustice would result from the precedent."
9,9,"Page 1 U.S. 406, 407  M'Kean, Chief Justice."
10,10,"We certainly should not permit Mr. Snowden, if he were here, to swear that he was told that such persons were present at the tender: But the question is, whether, having certified what he ought not to certify, the whole ought to be rejected?"
11,11,"The Chief Justice, accordingly, read to the Jury so much of the certificate as related to the receipt, and suppressed the rest."
12,12,"The material facts and the law arising in the principal case, were stated in the following charge to the Jury."
13,13,"The evidence that has been produced establishes these facts: That the Defendant owed the Plaintiff a prior debt of L 1700. which was secured by a mortgage dated the 23rd of April, 1768, on a mill and other real estate; that on this mortgage several payments were made at several times; but the interest running eventually greatly in arrears, the Defendant was advised to sell the mortgaged premisses, which he did, and Weiss (one of the witnesses who has been examined) became the purchasor, for L 1750. which, it was agreed by the parties, should be paid to Johnson on Hocker's account."
