,attacking,attacked,attack,support,neutral
3,1.0,53.0,0.2549198269844055,0.20942305028438568,0.5356571078300476
8,1.0,58.0,0.22385677695274356,0.5640125870704651,0.2121306210756302
10,1.0,60.0,0.6085339188575745,0.02966359816491604,0.36180245876312256
13,1.0,63.0,0.2549271583557129,0.20940648019313807,0.5356663465499878
18,1.0,68.0,0.223856583237648,0.564012885093689,0.2121305912733078
20,1.0,70.0,0.6085338592529297,0.029663657769560814,0.36180242896080017
25,1.0,75.0,0.22385679185390472,0.5640125870704651,0.21213063597679135
27,1.0,77.0,0.6085339188575745,0.02966360561549664,0.36180245876312256
31,1.0,81.0,0.21619342267513275,0.3952803015708923,0.3885262608528137
38,1.0,88.0,0.2549221813678741,0.20943135023117065,0.5356464982032776
43,1.0,93.0,0.2238563299179077,0.5640127658843994,0.2121308445930481
45,1.0,95.0,0.6085334420204163,0.029663674533367164,0.3618029057979584
50,2.0,50.0,0.9229443669319152,0.05715139955282211,0.01990427635610104
58,2.0,58.0,0.22433410584926605,0.7665103077888489,0.009155572392046452
60,2.0,60.0,0.9979768395423888,0.002006668364629149,1.6586944184382446e-05
68,2.0,68.0,0.22433416545391086,0.7665103673934937,0.009155555628240108
70,2.0,70.0,0.9979768395423888,0.002006672089919448,1.6586975107202303e-05
75,2.0,75.0,0.22433412075042725,0.7665103077888489,0.009155572392046452
77,2.0,77.0,0.9979768395423888,0.0020066665019839998,1.6586944184382446e-05
84,2.0,84.0,0.9225435256958008,0.057632911950349815,0.01982354372739792
93,2.0,93.0,0.22433412075042725,0.7665103077888489,0.009155567735433578
95,2.0,95.0,0.9979768395423888,0.0020066692959517236,1.6586944184382446e-05
96,2.0,96.0,0.44752463698387146,0.5041630268096924,0.04831230640411377
100,3.0,50.0,0.771548867225647,0.019276764243841168,0.20917442440986636
108,3.0,58.0,0.2056717276573181,0.718278169631958,0.07604999095201492
110,3.0,60.0,0.9984706044197084,0.0005199885927140713,0.0010093026794493196
118,3.0,68.0,0.20567147433757785,0.7182786464691162,0.07604993879795073
120,3.0,70.0,0.9984706044197084,0.0005199862061999738,0.0010092997690662742
125,3.0,75.0,0.20567160844802854,0.7182786464691162,0.07604984194040297
127,3.0,77.0,0.9984706044197084,0.0005199876031838356,0.0010093026794493196
132,3.0,82.0,0.2654680907726288,0.6015465259552002,0.1329854130744934
134,3.0,84.0,0.7703844308853149,0.01980073750019073,0.20981495082378387
143,3.0,93.0,0.20567145943641665,0.7182785868644714,0.07604994624853134
145,3.0,95.0,0.9984706044197084,0.000519988127052784,0.0010093031451106071
